grid_id,target_year,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,confusion_type,log_previous_count,previous_hotspot,shap_log_previous_count,shap_previous_hotspot
R051_C110,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R097_C060,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R052_C108,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R047_C075,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R088_C080,2024,0,0,0.015217410607103852,True negative,2.5649493574615367,0,6.912612848772478,-0.0024816942738633083
R132_C017,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R182_C035,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R138_C027,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R039_C026,2024,0,0,0.058211331684448954,True negative,2.772588722239781,0,8.298892669606905,-0.0024816942738633083
R007_C027,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R045_C056,2024,0,0,0.0013249536430650108,True negative,2.19722457733622,0,4.457541562781362,-0.0024816942738633083
R132_C055,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R014_C074,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R058_C050,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R023_C080,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R075_C085,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R168_C012,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R176_C038,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R017_C070,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R077_C056,2024,0,0,0.21519187873111192,True negative,2.995732273553991,0,9.788684370070785,-0.0024816942738633083
R045_C113,2024,0,0,0.0002477300319792436,True negative,1.9459101490553128,0,2.779670312392786,-0.0024816942738633083
R024_C045,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R143_C054,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R047_C089,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R024_C059,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R032_C047,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R026_C085,2024,0,0,0.4808442013353714,True negative,3.1780538303479458,0,11.005932820799332,-0.0024816942738633083
R016_C045,2024,1,1,0.9999666575941053,True positive,4.727387818712341,1,21.34987914377287,0.03887987695719184
R160_C056,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R140_C053,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R161_C051,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R126_C043,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R022_C099,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R111_C069,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R130_C036,2024,1,1,0.9199965296592397,True positive,3.555348061489413,0,13.524893422067063,-0.0024816942738633083
R062_C074,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R016_C061,2024,0,0,0.038620547826229264,True negative,2.70805020110221,0,7.868008816658011,-0.0024816942738633083
R058_C090,2024,1,1,0.9996656152407031,True positive,4.382026634673881,1,19.04411577928118,0.03887987695719184
