grid_id,year,collision_count,fatal_count,serious_count,slight_count,total_severity_score,mean_severity_score,occupied_in_year,zero_collision_year,grid_row,grid_col,cell_size_m,cell_area_km2,centroid_easting,centroid_northing
R005_C016,2024,1,0,1,0,2.0,2.0,1,0,5,16,5000,25.0,147500.0,37500.0
R005_C017,2020,12,1,2,9,16.0,1.3333333333333333,1,0,5,17,5000,25.0,152500.0,37500.0
R005_C017,2021,15,1,4,10,21.0,1.4,1,0,5,17,5000,25.0,152500.0,37500.0
R005_C017,2022,18,0,5,13,23.0,1.2777777777777777,1,0,5,17,5000,25.0,152500.0,37500.0
R005_C017,2023,11,0,5,6,16.0,1.4545454545454546,1,0,5,17,5000,25.0,152500.0,37500.0
R005_C017,2024,11,1,0,10,13.0,1.1818181818181819,1,0,5,17,5000,25.0,152500.0,37500.0
R005_C018,2020,22,0,6,16,28.0,1.2727272727272727,1,0,5,18,5000,25.0,157500.0,37500.0
R005_C018,2021,14,1,4,9,20.0,1.4285714285714286,1,0,5,18,5000,25.0,157500.0,37500.0
R005_C018,2022,23,0,5,18,28.0,1.2173913043478262,1,0,5,18,5000,25.0,157500.0,37500.0
R005_C018,2023,19,1,5,13,26.0,1.368421052631579,1,0,5,18,5000,25.0,157500.0,37500.0
R005_C018,2024,23,0,5,18,28.0,1.2173913043478262,1,0,5,18,5000,25.0,157500.0,37500.0
R005_C019,2020,6,0,1,5,7.0,1.1666666666666667,1,0,5,19,5000,25.0,162500.0,37500.0
R005_C019,2021,11,0,2,9,13.0,1.1818181818181819,1,0,5,19,5000,25.0,162500.0,37500.0
R005_C019,2022,11,0,4,7,15.0,1.3636363636363635,1,0,5,19,5000,25.0,162500.0,37500.0
R005_C019,2023,11,1,3,7,16.0,1.4545454545454546,1,0,5,19,5000,25.0,162500.0,37500.0
R005_C019,2024,8,0,2,6,10.0,1.25,1,0,5,19,5000,25.0,162500.0,37500.0
R005_C020,2020,9,0,4,5,13.0,1.4444444444444444,1,0,5,20,5000,25.0,167500.0,37500.0
R005_C020,2021,9,1,3,5,14.0,1.5555555555555556,1,0,5,20,5000,25.0,167500.0,37500.0
R005_C020,2022,7,0,3,4,10.0,1.4285714285714286,1,0,5,20,5000,25.0,167500.0,37500.0
R005_C020,2023,9,0,1,8,10.0,1.1111111111111112,1,0,5,20,5000,25.0,167500.0,37500.0
R005_C020,2024,5,0,2,3,7.0,1.4,1,0,5,20,5000,25.0,167500.0,37500.0
R005_C021,2020,2,0,1,1,3.0,1.5,1,0,5,21,5000,25.0,172500.0,37500.0
R005_C021,2021,5,0,2,3,7.0,1.4,1,0,5,21,5000,25.0,172500.0,37500.0
R005_C021,2022,3,0,1,2,4.0,1.3333333333333333,1,0,5,21,5000,25.0,172500.0,37500.0
R005_C021,2023,2,0,1,1,3.0,1.5,1,0,5,21,5000,25.0,172500.0,37500.0
R005_C021,2024,5,0,0,5,5.0,1.0,1,0,5,21,5000,25.0,172500.0,37500.0
R005_C022,2020,13,1,3,9,18.0,1.3846153846153846,1,0,5,22,5000,25.0,177500.0,37500.0
R005_C022,2021,20,0,4,16,24.0,1.2,1,0,5,22,5000,25.0,177500.0,37500.0
R005_C022,2022,16,0,3,13,19.0,1.1875,1,0,5,22,5000,25.0,177500.0,37500.0
R005_C022,2023,9,0,2,7,11.0,1.2222222222222223,1,0,5,22,5000,25.0,177500.0,37500.0
R005_C022,2024,17,0,1,16,18.0,1.0588235294117647,1,0,5,22,5000,25.0,177500.0,37500.0
R005_C023,2020,1,0,1,0,2.0,2.0,1,0,5,23,5000,25.0,182500.0,37500.0
R005_C023,2021,3,0,1,2,4.0,1.3333333333333333,1,0,5,23,5000,25.0,182500.0,37500.0
R005_C023,2022,2,0,0,2,2.0,1.0,1,0,5,23,5000,25.0,182500.0,37500.0
R005_C023,2023,0,0,0,0,0.0,,0,1,5,23,5000,25.0,182500.0,37500.0
R005_C023,2024,3,0,0,3,3.0,1.0,1,0,5,23,5000,25.0,182500.0,37500.0
R005_C024,2020,1,0,0,1,1.0,1.0,1,0,5,24,5000,25.0,187500.0,37500.0
R005_C024,2021,0,0,0,0,0.0,,0,1,5,24,5000,25.0,187500.0,37500.0
R005_C024,2022,2,0,0,2,2.0,1.0,1,0,5,24,5000,25.0,187500.0,37500.0
R005_C024,2023,4,0,1,3,5.0,1.25,1,0,5,24,5000,25.0,187500.0,37500.0
R005_C024,2024,2,0,0,2,2.0,1.0,1,0,5,24,5000,25.0,187500.0,37500.0
R005_C025,2020,0,0,0,0,0.0,,0,1,5,25,5000,25.0,192500.0,37500.0
R005_C025,2021,0,0,0,0,0.0,,0,1,5,25,5000,25.0,192500.0,37500.0
R005_C025,2022,1,0,0,1,1.0,1.0,1,0,5,25,5000,25.0,192500.0,37500.0
R005_C025,2023,0,0,0,0,0.0,,0,1,5,25,5000,25.0,192500.0,37500.0
R005_C025,2024,0,0,0,0,0.0,,0,1,5,25,5000,25.0,192500.0,37500.0
R005_C040,2020,0,0,0,0,0.0,,0,1,5,40,5000,25.0,267500.0,37500.0
R005_C040,2021,0,0,0,0,0.0,,0,1,5,40,5000,25.0,267500.0,37500.0
R005_C040,2022,0,0,0,0,0.0,,0,1,5,40,5000,25.0,267500.0,37500.0
R005_C040,2023,0,0,0,0,0.0,,0,1,5,40,5000,25.0,267500.0,37500.0
R005_C040,2024,1,0,0,1,1.0,1.0,1,0,5,40,5000,25.0,267500.0,37500.0
R005_C041,2020,0,0,0,0,0.0,,0,1,5,41,5000,25.0,272500.0,37500.0
R005_C041,2021,4,0,1,3,5.0,1.25,1,0,5,41,5000,25.0,272500.0,37500.0
R005_C041,2022,0,0,0,0,0.0,,0,1,5,41,5000,25.0,272500.0,37500.0
R005_C041,2023,2,0,0,2,2.0,1.0,1,0,5,41,5000,25.0,272500.0,37500.0
R005_C041,2024,3,0,1,2,4.0,1.3333333333333333,1,0,5,41,5000,25.0,272500.0,37500.0
R005_C042,2020,0,0,0,0,0.0,,0,1,5,42,5000,25.0,277500.0,37500.0
R005_C042,2021,1,0,0,1,1.0,1.0,1,0,5,42,5000,25.0,277500.0,37500.0
R005_C042,2022,2,0,0,2,2.0,1.0,1,0,5,42,5000,25.0,277500.0,37500.0
R005_C042,2023,1,0,0,1,1.0,1.0,1,0,5,42,5000,25.0,277500.0,37500.0
R005_C042,2024,1,0,0,1,1.0,1.0,1,0,5,42,5000,25.0,277500.0,37500.0
R006_C017,2020,3,0,2,1,5.0,1.6666666666666667,1,0,6,17,5000,25.0,152500.0,42500.0
R006_C017,2021,7,0,1,6,8.0,1.1428571428571428,1,0,6,17,5000,25.0,152500.0,42500.0
R006_C017,2022,8,0,1,7,9.0,1.125,1,0,6,17,5000,25.0,152500.0,42500.0
R006_C017,2023,8,1,1,6,11.0,1.375,1,0,6,17,5000,25.0,152500.0,42500.0
R006_C017,2024,8,0,0,8,8.0,1.0,1,0,6,17,5000,25.0,152500.0,42500.0
R006_C018,2020,0,0,0,0,0.0,,0,1,6,18,5000,25.0,157500.0,42500.0
R006_C018,2021,0,0,0,0,0.0,,0,1,6,18,5000,25.0,157500.0,42500.0
R006_C018,2022,0,0,0,0,0.0,,0,1,6,18,5000,25.0,157500.0,42500.0
R006_C018,2023,2,0,1,1,3.0,1.5,1,0,6,18,5000,25.0,157500.0,42500.0
R006_C018,2024,2,0,1,1,3.0,1.5,1,0,6,18,5000,25.0,157500.0,42500.0
R006_C019,2020,17,0,3,14,20.0,1.1764705882352942,1,0,6,19,5000,25.0,162500.0,42500.0
R006_C019,2021,5,0,0,5,5.0,1.0,1,0,6,19,5000,25.0,162500.0,42500.0
R006_C019,2022,10,0,1,9,11.0,1.1,1,0,6,19,5000,25.0,162500.0,42500.0
R006_C019,2023,8,0,2,6,10.0,1.25,1,0,6,19,5000,25.0,162500.0,42500.0
R006_C019,2024,7,0,0,7,7.0,1.0,1,0,6,19,5000,25.0,162500.0,42500.0
R006_C020,2020,40,1,6,33,48.0,1.2,1,0,6,20,5000,25.0,167500.0,42500.0
R006_C020,2021,44,0,13,31,57.0,1.2954545454545454,1,0,6,20,5000,25.0,167500.0,42500.0
R006_C020,2022,50,1,15,34,67.0,1.34,1,0,6,20,5000,25.0,167500.0,42500.0
R006_C020,2023,52,1,9,42,63.0,1.2115384615384615,1,0,6,20,5000,25.0,167500.0,42500.0
R006_C020,2024,45,0,8,37,53.0,1.1777777777777778,1,0,6,20,5000,25.0,167500.0,42500.0
R006_C021,2020,18,0,3,15,21.0,1.1666666666666667,1,0,6,21,5000,25.0,172500.0,42500.0
R006_C021,2021,19,0,5,14,24.0,1.263157894736842,1,0,6,21,5000,25.0,172500.0,42500.0
R006_C021,2022,22,0,6,16,28.0,1.2727272727272727,1,0,6,21,5000,25.0,172500.0,42500.0
R006_C021,2023,16,0,7,9,23.0,1.4375,1,0,6,21,5000,25.0,172500.0,42500.0
R006_C021,2024,19,1,2,16,23.0,1.2105263157894737,1,0,6,21,5000,25.0,172500.0,42500.0
R006_C022,2020,6,0,0,6,6.0,1.0,1,0,6,22,5000,25.0,177500.0,42500.0
R006_C022,2021,6,0,1,5,7.0,1.1666666666666667,1,0,6,22,5000,25.0,177500.0,42500.0
R006_C022,2022,11,0,2,9,13.0,1.1818181818181819,1,0,6,22,5000,25.0,177500.0,42500.0
R006_C022,2023,7,0,2,5,9.0,1.2857142857142858,1,0,6,22,5000,25.0,177500.0,42500.0
R006_C022,2024,9,0,3,6,12.0,1.3333333333333333,1,0,6,22,5000,25.0,177500.0,42500.0
R006_C023,2020,14,0,4,10,18.0,1.2857142857142858,1,0,6,23,5000,25.0,182500.0,42500.0
R006_C023,2021,27,0,9,18,36.0,1.3333333333333333,1,0,6,23,5000,25.0,182500.0,42500.0
R006_C023,2022,33,0,13,20,46.0,1.393939393939394,1,0,6,23,5000,25.0,182500.0,42500.0
R006_C023,2023,37,0,8,29,45.0,1.2162162162162162,1,0,6,23,5000,25.0,182500.0,42500.0
R006_C023,2024,27,0,5,22,32.0,1.1851851851851851,1,0,6,23,5000,25.0,182500.0,42500.0
R006_C024,2020,0,0,0,0,0.0,,0,1,6,24,5000,25.0,187500.0,42500.0
R006_C024,2021,0,0,0,0,0.0,,0,1,6,24,5000,25.0,187500.0,42500.0
R006_C024,2022,0,0,0,0,0.0,,0,1,6,24,5000,25.0,187500.0,42500.0
R006_C024,2023,2,0,0,2,2.0,1.0,1,0,6,24,5000,25.0,187500.0,42500.0
R006_C024,2024,0,0,0,0,0.0,,0,1,6,24,5000,25.0,187500.0,42500.0
R006_C025,2020,1,0,1,0,2.0,2.0,1,0,6,25,5000,25.0,192500.0,42500.0
R006_C025,2021,5,0,1,4,6.0,1.2,1,0,6,25,5000,25.0,192500.0,42500.0
R006_C025,2022,2,0,0,2,2.0,1.0,1,0,6,25,5000,25.0,192500.0,42500.0
R006_C025,2023,5,0,0,5,5.0,1.0,1,0,6,25,5000,25.0,192500.0,42500.0
R006_C025,2024,5,0,1,4,6.0,1.2,1,0,6,25,5000,25.0,192500.0,42500.0
R006_C026,2020,2,0,0,2,2.0,1.0,1,0,6,26,5000,25.0,197500.0,42500.0
R006_C026,2021,0,0,0,0,0.0,,0,1,6,26,5000,25.0,197500.0,42500.0
R006_C026,2022,2,0,0,2,2.0,1.0,1,0,6,26,5000,25.0,197500.0,42500.0
R006_C026,2023,1,0,0,1,1.0,1.0,1,0,6,26,5000,25.0,197500.0,42500.0
R006_C026,2024,2,0,2,0,4.0,2.0,1,0,6,26,5000,25.0,197500.0,42500.0
R006_C027,2020,0,0,0,0,0.0,,0,1,6,27,5000,25.0,202500.0,42500.0
